time,symbol,id,side,qty,filled,price,type,status,status_msg
2017-12-23T05:52:00,Symbol.XBTUSD,bitme_1002,sell,-2783.0,0.0,14263.6,limit,canceled,liquidation
2017-12-23T05:52:00,Symbol.XBTUSD,bitme_1003,buy,2780.0,0.0,13900.0,limit,canceled,liquidation
2017-12-23T05:53:00,Symbol.XBTUSD,bitme_1004,sell,-16731.0,-16731.0,nan,market,filled,liquidation
2017-12-23T05:53:00,Symbol.XBTUSD,bitme_1005,buy,2758.0,2758.0,13792.0,limit,filled,
2017-12-23T05:54:00,Symbol.XBTUSD,bitme_1006,sell,-2758.0,0.0,14229.4,limit,canceled,liquidation
2017-12-23T05:54:00,Symbol.XBTUSD,bitme_1007,buy,2768.0,2768.0,13844.0,limit,filled,
2017-12-23T05:55:00,Symbol.XBTUSD,bitme_1008,sell,-2768.0,0.0,14213.5,limit,canceled,liquidation
2017-12-23T05:56:00,Symbol.XBTUSD,bitme_1009,buy,2774.0,2774.0,13871.0,limit,filled,
2017-12-23T05:57:00,Symbol.XBTUSD,bitme_1010,sell,-2760.0,0.0,14186.9,limit,canceled,liquidation
2017-12-23T05:57:00,Symbol.XBTUSD,bitme_1011,buy,2759.0,2759.0,13799.5,limit,filled,
2017-12-23T05:58:00,Symbol.XBTUSD,bitme_1012,sell,-2759.0,0.0,14165.4,limit,canceled,liquidation
2017-12-23T05:58:00,Symbol.XBTUSD,bitme_1013,sell,-12.0,0.0,14165.4,limit,canceled,liquidation
2017-12-23T05:58:00,Symbol.XBTUSD,bitme_1014,buy,2760.0,2760.0,13802.5,limit,filled,
2017-12-23T05:59:00,Symbol.XBTUSD,bitme_1015,sell,-2.0,0.0,14146.4,limit,canceled,liquidation
2017-12-23T05:59:00,Symbol.XBTUSD,bitme_1016,sell,-2760.0,0.0,14146.4,limit,canceled,liquidation
2017-12-23T06:08:00,Symbol.XBTUSD,bitme_1017,buy,2772.0,2772.0,13863.5,limit,filled,
2017-12-23T06:09:00,Symbol.XBTUSD,bitme_1018,sell,-1646.0,0.0,14033.4,limit,canceled,liquidation
2017-12-23T06:09:00,Symbol.XBTUSD,bitme_1019,buy,2770.0,2770.0,13850.0,limit,filled,
2017-12-23T06:10:00,Symbol.XBTUSD,bitme_1020,sell,-2770.0,0.0,14024.1,limit,canceled,liquidation
2017-12-23T06:10:00,Symbol.XBTUSD,bitme_1021,sell,-1126.0,0.0,14024.1,limit,canceled,liquidation
2017-12-23T06:11:00,Symbol.XBTUSD,bitme_1022,buy,2774.0,2774.0,13873.5,limit,filled,
2017-12-23T06:12:00,Symbol.XBTUSD,bitme_1023,sell,-2774.0,0.0,14009.7,limit,canceled,liquidation
2017-12-23T06:13:00,Symbol.XBTUSD,bitme_1024,buy,2753.0,2265.0,13768.0,limit,canceled,liquidation
2017-12-23T06:14:00,Symbol.XBTUSD,bitme_1025,sell,-2265.0,0.0,13989.9,limit,canceled,liquidation
2017-12-23T06:14:00,Symbol.XBTUSD,bitme_1026,buy,2732.0,2732.0,13663.5,limit,filled,
2017-12-23T06:15:00,Symbol.XBTUSD,bitme_1027,sell,-2732.0,0.0,13983.0,limit,canceled,liquidation
2017-12-23T06:15:00,Symbol.XBTUSD,bitme_1028,sell,-27132.0,-27132.0,nan,market,filled,liquidation
2017-12-23T06:15:00,Symbol.XBTUSD,bitme_1029,buy,2746.0,2746.0,13734.5,limit,filled,
2017-12-23T06:16:00,Symbol.XBTUSD,bitme_1030,sell,-2746.0,-2746.0,13974.2,limit,filled,
2017-12-23T06:16:00,Symbol.XBTUSD,bitme_1031,buy,2747.0,2747.0,13736.5,limit,filled,
2017-12-23T06:17:00,Symbol.XBTUSD,bitme_1032,sell,-2747.0,-2747.0,13966.2,limit,filled,
2017-12-23T06:18:00,Symbol.XBTUSD,bitme_1033,buy,2742.0,2742.0,13711.5,limit,filled,
2017-12-23T06:19:00,Symbol.XBTUSD,bitme_1034,sell,-2742.0,-2742.0,13950.0,limit,filled,
2017-12-23T06:21:00,Symbol.XBTUSD,bitme_1035,buy,2728.0,2728.0,13640.0,limit,filled,
2017-12-23T06:22:00,Symbol.XBTUSD,bitme_1036,sell,-2728.0,-2728.0,13915.6,limit,filled,
2017-12-23T06:22:00,Symbol.XBTUSD,bitme_1037,buy,2729.0,2729.0,13649.5,limit,filled,
2017-12-23T06:23:00,Symbol.XBTUSD,bitme_1038,sell,-2729.0,-2729.0,13901.2,limit,filled,
2017-12-23T06:23:00,Symbol.XBTUSD,bitme_1039,buy,2730.0,2730.0,13650.0,limit,filled,
2017-12-23T06:24:00,Symbol.XBTUSD,bitme_1040,sell,-2730.0,-2730.0,13886.2,limit,filled,
2017-12-23T06:27:00,Symbol.XBTUSD,bitme_1041,sell,-2791.0,-2791.0,13956.5,limit,filled,
2017-12-23T06:29:00,Symbol.XBTUSD,bitme_1042,sell,-2785.0,-2785.0,13925.0,limit,filled,
2017-12-23T06:30:00,Symbol.XBTUSD,bitme_1043,buy,1374.0,1374.0,13711.5,limit,filled,
2017-12-23T06:30:00,Symbol.XBTUSD,bitme_1044,buy,1373.0,1373.0,13711.5,limit,filled,
2017-12-23T06:30:00,Symbol.XBTUSD,bitme_1045,sell,-2790.0,-2790.0,13954.5,limit,filled,
2017-12-23T06:31:00,Symbol.XBTUSD,bitme_1046,buy,349.0,349.0,13722.6,limit,filled,
2017-12-23T06:31:00,Symbol.XBTUSD,bitme_1047,buy,687.0,687.0,13722.6,limit,filled,
2017-12-23T06:31:00,Symbol.XBTUSD,bitme_1048,buy,687.0,687.0,13722.6,limit,filled,
2017-12-23T06:31:00,Symbol.XBTUSD,bitme_1049,buy,1395.0,1395.0,13722.6,limit,filled,
2017-12-23T06:31:00,Symbol.XBTUSD,bitme_1050,sell,-2789.0,-2789.0,13947.5,limit,filled,
2017-12-23T06:32:00,Symbol.XBTUSD,bitme_1051,buy,211.0,211.0,13729.3,limit,filled,
2017-12-23T06:32:00,Symbol.XBTUSD,bitme_1052,buy,343.0,343.0,13729.3,limit,filled,
2017-12-23T06:32:00,Symbol.XBTUSD,bitme_1053,buy,343.0,343.0,13729.3,limit,filled,
2017-12-23T06:32:00,Symbol.XBTUSD,bitme_1054,buy,1395.0,1395.0,13729.3,limit,filled,
2017-12-23T06:32:00,Symbol.XBTUSD,bitme_1055,buy,2789.0,2789.0,13729.3,limit,filled,
2017-12-23T06:33:00,Symbol.XBTUSD,bitme_1056,buy,69.0,69.0,13729.3,limit,filled,
2017-12-23T06:33:00,Symbol.XBTUSD,bitme_1057,buy,172.0,172.0,13729.3,limit,filled,
2017-12-23T06:39:00,Symbol.XBTUSD,bitme_1058,buy,2734.0,2734.0,13672.0,limit,filled,
2017-12-23T06:40:00,Symbol.XBTUSD,bitme_1059,buy,2735.0,2735.0,13675.5,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1060,sell,-630.0,-630.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1061,sell,-40.0,-40.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1062,sell,-111.0,-111.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1063,sell,-630.0,-630.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1064,sell,-323.0,-323.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1065,sell,-647.0,-647.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1066,sell,-442.0,-442.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1067,sell,-218.0,-218.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1068,sell,-49.0,-49.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1069,sell,-80.0,-80.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1070,sell,-80.0,-80.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1071,sell,-218.0,-218.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1072,sell,-16.0,-16.0,13916.7,limit,filled,
2017-12-23T06:41:00,Symbol.XBTUSD,bitme_1073,sell,-2735.0,-2735.0,13916.7,limit,filled,
2017-12-23T06:46:00,Symbol.XBTUSD,bitme_1074,buy,80.0,0.0,13685.1,limit,canceled,liquidation
2017-12-23T06:46:00,Symbol.XBTUSD,bitme_1075,sell,-2787.0,-2787.0,13936.5,limit,filled,
2017-12-23T06:47:00,Symbol.XBTUSD,bitme_1076,buy,68.0,0.0,13712.8,limit,canceled,liquidation
2017-12-23T06:47:00,Symbol.XBTUSD,bitme_1077,buy,86.0,0.0,13712.8,limit,canceled,liquidation
2017-12-23T06:47:00,Symbol.XBTUSD,bitme_1078,buy,172.0,0.0,13712.8,limit,canceled,liquidation
2017-12-23T06:47:00,Symbol.XBTUSD,bitme_1079,buy,2787.0,0.0,13712.8,limit,canceled,liquidation
2017-12-23T06:47:00,Symbol.XBTUSD,bitme_1080,sell,-2791.0,-2791.0,13957.0,limit,filled,
2017-12-23T06:48:00,Symbol.XBTUSD,bitme_1081,buy,85.0,0.0,13726.9,limit,canceled,liquidation
2017-12-23T06:48:00,Symbol.XBTUSD,bitme_1082,buy,171.0,0.0,13726.9,limit,canceled,liquidation
2017-12-23T06:48:00,Symbol.XBTUSD,bitme_1083,buy,2791.0,0.0,13726.9,limit,canceled,liquidation
2017-12-23T06:48:00,Symbol.XBTUSD,bitme_1084,sell,-2811.0,-2811.0,14057.5,limit,filled,
2017-12-23T06:49:00,Symbol.XBTUSD,bitme_1085,buy,2811.0,0.0,13737.5,limit,canceled,liquidation
2017-12-23T06:49:00,Symbol.XBTUSD,bitme_1086,sell,-2817.0,-2817.0,14087.0,limit,filled,
2017-12-23T06:50:00,Symbol.XBTUSD,bitme_1087,buy,1409.0,0.0,13748.7,limit,canceled,liquidation
2017-12-23T06:50:00,Symbol.XBTUSD,bitme_1088,sell,-2810.0,-2810.0,14050.0,limit,filled,
2017-12-23T06:51:00,Symbol.XBTUSD,bitme_1089,buy,704.0,0.0,13759.9,limit,canceled,liquidation
2017-12-23T06:51:00,Symbol.XBTUSD,bitme_1090,buy,2810.0,0.0,13759.9,limit,canceled,liquidation
2017-12-23T06:51:00,Symbol.XBTUSD,bitme_1091,sell,-2813.0,-2813.0,14067.5,limit,filled,
2017-12-23T06:52:00,Symbol.XBTUSD,bitme_1092,buy,1407.0,0.0,13770.0,limit,canceled,liquidation
2017-12-23T07:00:00,Symbol.XBTUSD,bitme_1093,buy,704.0,0.0,13770.0,limit,canceled,liquidation
2017-12-23T07:00:00,Symbol.XBTUSD,bitme_1094,buy,1406.0,0.0,13770.0,limit,canceled,liquidation
2017-12-23T07:00:00,Symbol.XBTUSD,bitme_1095,sell,-2824.0,-2824.0,14124.5,limit,filled,
2017-12-23T07:01:00,Symbol.XBTUSD,bitme_1096,buy,2824.0,0.0,13842.0,limit,canceled,liquidation
2017-12-23T07:01:00,Symbol.XBTUSD,bitme_1097,sell,-2827.0,-2827.0,14138.5,limit,filled,
2017-12-23T07:02:00,Symbol.XBTUSD,bitme_1098,buy,2827.0,0.0,13858.5,limit,canceled,liquidation
2017-12-23T07:02:00,Symbol.XBTUSD,bitme_1099,sell,-2828.0,-2828.0,14140.0,limit,filled,
2017-12-23T07:03:00,Symbol.XBTUSD,bitme_1100,buy,2828.0,0.0,13883.5,limit,canceled,liquidation
2017-12-23T07:03:00,Symbol.XBTUSD,bitme_1101,buy,26026.0,26026.0,nan,market,filled,liquidation
2017-12-23T07:03:00,Symbol.XBTUSD,bitme_1102,sell,-2850.0,-2850.0,14250.0,limit,filled,
2017-12-23T07:04:00,Symbol.XBTUSD,bitme_1103,buy,2850.0,0.0,13907.7,limit,canceled,liquidation
2017-12-23T07:04:00,Symbol.XBTUSD,bitme_1104,sell,-2858.0,-2858.0,14293.5,limit,filled,
2017-12-23T07:05:00,Symbol.XBTUSD,bitme_1105,buy,2858.0,0.0,13925.0,limit,canceled,liquidation
2017-12-23T07:05:00,Symbol.XBTUSD,bitme_1106,sell,-2863.0,-2863.0,14319.5,limit,filled,
2017-12-23T07:06:00,Symbol.XBTUSD,bitme_1107,buy,1432.0,0.0,13945.5,limit,canceled,liquidation
2017-12-23T07:06:00,Symbol.XBTUSD,bitme_1108,sell,-2855.0,-2855.0,14279.5,limit,filled,
2017-12-23T07:07:00,Symbol.XBTUSD,bitme_1109,sell,-2854.0,-2854.0,14271.5,limit,filled,
2017-12-23T07:17:00,Symbol.XBTUSD,bitme_1110,buy,1431.0,0.0,13973.1,limit,canceled,liquidation
2017-12-23T07:17:00,Symbol.XBTUSD,bitme_1111,buy,2855.0,0.0,13973.1,limit,canceled,liquidation
2017-12-23T07:17:00,Symbol.XBTUSD,bitme_1112,buy,2854.0,0.0,13973.1,limit,canceled,liquidation
2017-12-23T07:17:00,Symbol.XBTUSD,bitme_1113,sell,-2867.0,-2867.0,14336.0,limit,filled,
2017-12-23T07:18:00,Symbol.XBTUSD,bitme_1114,buy,2867.0,0.0,14081.6,limit,canceled,liquidation
2017-12-23T07:18:00,Symbol.XBTUSD,bitme_1115,sell,-2868.0,-2868.0,14340.0,limit,filled,
2017-12-23T07:19:00,Symbol.XBTUSD,bitme_1116,buy,2868.0,2868.0,14111.4,limit,filled,
2017-12-23T07:19:00,Symbol.XBTUSD,bitme_1117,sell,-2877.0,-2877.0,14389.0,limit,filled,
2017-12-23T07:20:00,Symbol.XBTUSD,bitme_1118,buy,2877.0,2877.0,14140.1,limit,filled,
2017-12-23T07:20:00,Symbol.XBTUSD,bitme_1119,sell,-2880.0,-2880.0,14400.5,limit,filled,
2017-12-23T07:21:00,Symbol.XBTUSD,bitme_1120,buy,2880.0,2880.0,14154.2,limit,filled,
2017-12-23T07:21:00,Symbol.XBTUSD,bitme_1121,sell,-2883.0,-2883.0,14415.0,limit,filled,
2017-12-23T07:22:00,Symbol.XBTUSD,bitme_1122,buy,1442.0,1442.0,14168.1,limit,filled,
2017-12-23T07:22:00,Symbol.XBTUSD,bitme_1123,sell,-2868.0,-2868.0,14343.0,limit,filled,
2017-12-23T07:23:00,Symbol.XBTUSD,bitme_1124,buy,1434.0,1434.0,14180.7,limit,filled,
2017-12-23T07:24:00,Symbol.XBTUSD,bitme_1125,buy,1434.0,1434.0,14180.7,limit,filled,
2017-12-23T07:30:00,Symbol.XBTUSD,bitme_1126,sell,-2876.0,-2876.0,14380.0,limit,filled,
