time,low,high,open,close,volume
2017-05-01T20:00:00,78.02,83.07,79.05,78.31,54848.7622196
2017-05-02T02:00:00,75.54,79.39,78.22,76.8,46185.6356331
2017-05-02T08:00:00,76.08,79.4,76.84,78.76,54694.2675924
2017-05-02T14:00:00,77,79.65,78.68,77.55,55649.3266263
2017-05-02T20:00:00,75.89,78.36,77.55,77.79,50299.0532321
2017-05-03T02:00:00,76.25,78.55,77.71,78.29,27517.1119088
2017-05-03T08:00:00,77.26,80.99,78.24,79,79327.4005747
2017-05-03T14:00:00,77.5,81.4,78.84,81.29,60740.3411376
2017-05-03T20:00:00,80.31,89.74,81.19,87.86,84162.4860988
2017-05-04T02:00:00,86.44,89.96,87.72,89.3,44255.5615603
2017-05-04T08:00:00,87.04,92.69,89.29,91.34,90416.5785506
2017-05-04T14:00:00,87.5,96.66,91.35,95.97,137483.517592
2017-05-04T20:00:00,94.58,98.6,95.98,98.29,72826.8528146
2017-05-05T02:00:00,96.99,98.98,97.92,97.38,32754.7577426
2017-05-05T08:00:00,89,97.97,97.38,93.45,77137.0420246
2017-05-05T14:00:00,89.2,94.69,93.44,91.93,58719.6100281
2017-05-05T20:00:00,91.94,96,91.94,93.96,30456.2329523
2017-05-06T02:00:00,92,94.27,93.98,93.99,13475.2511346
2017-05-06T08:00:00,92.44,95.74,93.84,94,31130.0990829
2017-05-06T14:00:00,93.69,96.42,93.81,95.84,36411.826574
2017-05-06T20:00:00,94.32,96.12,95.74,95.2,33653.6455769
2017-05-07T02:00:00,94.71,95.9,95.36,95.84,13659.2869618
2017-05-07T08:00:00,95.83,97.95,95.88,96.45,32264.7826577
2017-05-07T14:00:00,90,96.99,96.47,93.82,66913.5478592
2017-05-07T20:00:00,88.27,94.74,93.83,89.12,62556.086378
2017-05-08T02:00:00,88.5,92.26,89.13,89.87,30588.4227057
2017-05-08T08:00:00,85.1,92.48,89.78,90.74,67478.2356713
2017-05-08T14:00:00,86.79,92,90.64,89.25,52375.988325
2017-05-08T20:00:00,84.82,90.08,89.25,86.87,64537.3911712
2017-05-09T02:00:00,75.89,87.5,86.87,80.92,83841.3495089
2017-05-09T08:00:00,80.86,87.69,80.86,85.11,57613.5326471
2017-05-09T14:00:00,84.25,88.92,85.13,86.58,68275.0055573
2017-05-09T20:00:00,85.39,89.43,86.77,88,44366.5872225
2017-05-10T02:00:00,86.3,91.76,88,91.27,24330.3733079
2017-05-10T08:00:00,86.7,91.98,91.39,89.28,43736.5014322
2017-05-10T14:00:00,86.04,89.9,89.27,88.36,30739.7146149
2017-05-10T20:00:00,87.01,89.99,88.36,87.16,26509.4937525
2017-05-11T02:00:00,87.16,90.96,87.21,90.85,24310.1249102
2017-05-11T08:00:00,87.48,90.99,90.8,88.24,33235.1101583
2017-05-11T14:00:00,87.36,88.52,88.34,88.3,31177.1348684
2017-05-11T20:00:00,87.76,90,88.3,90,28927.8008433
2017-05-12T02:00:00,88.78,90.3,90,89.75,13069.5594387
2017-05-12T08:00:00,88.28,90,89.79,88.6,23703.0751698
2017-05-12T14:00:00,82.2,88.6,88.6,85.17,70205.1253343
2017-05-12T20:00:00,82,87.4,85.19,87.33,40336.2491042
2017-05-13T02:00:00,85.62,88,87.33,87.98,8303.54201408
2017-05-13T08:00:00,85.33,87.99,87.98,86.64,19873.2851472
2017-05-13T14:00:00,85.56,88.74,86.63,88.42,20250.2209801
2017-05-13T20:00:00,87.13,89.24,88.38,89.19,17827.253432
2017-05-14T02:00:00,88.85,89.94,89.18,89.22,7673.39180772
2017-05-14T08:00:00,87.37,89.9,89.23,88.2,14902.4474682
2017-05-14T14:00:00,87.76,89.8,88.2,89.39,12602.3038144
2017-05-14T20:00:00,89.28,90.98,89.42,90.78,19998.9681278
2017-05-15T02:00:00,90.36,94.7,90.78,93.5,31148.1558392
2017-05-15T08:00:00,89.9,94.6,93.5,90.87,46405.9347458
2017-05-15T14:00:00,90.06,91.5,90.91,91,33807.8051112
2017-05-15T20:00:00,90.4,92.3,91,91.46,34430.6368672
2017-05-16T02:00:00,90.1,91.6,91.46,90.57,16509.6974432
2017-05-16T08:00:00,87.68,90.72,90.51,88.62,41210.7142818
2017-05-16T14:00:00,87.08,89.86,88.53,87.98,35079.9516323
2017-05-16T20:00:00,82.5,88.92,87.97,87.2,63409.2406363
2017-05-17T02:00:00,86.16,89.98,87.08,87.48,21380.4850463
2017-05-17T08:00:00,86.57,88,87.47,87.1,35614.8976696
2017-05-17T14:00:00,85.57,87.24,87.1,86.88,32390.7739109
2017-05-17T20:00:00,86.8,87.91,86.88,87.13,16726.6218024
